floor,spaceId,itemId,deviceType,expectedQty,locationNotes,itemNotesOverride,testTemplateOverride
3,03-300-elevator-lobby-002,control-1,DT-305,1,,,
3,03-300-elevator-lobby-002,lighting-1,P1,1,,,
3,03-302-ext-lobby-005,control-1,DT-305,1,,,
3,03-302-ext-lobby-005,lighting-1,A2,1,,,
3,03-302-lobby-004,control-1,S2b,1,,,
3,03-302-lobby-004,control-2,DT-305,1,,,
3,03-302-lobby-004,lighting-1,CP1,12,,,
3,03-302-lobby-004,lighting-2,J2,1,recessed mount light near wall,,
3,03-302-lobby-004,lighting-3,J3,1,linear ceiling cove light around suspended ceiling,,
3,03-302-lobby-004,lighting-4,L2,2,uniform thin light on adjacent walls,,
3,03-302-lobby-004,lighting-5,C2,3,,,
3,03-302a-badge-office-006,control-1,S4b,1,,,
3,03-302a-badge-office-006,control-2,DT-305,1,,,
3,03-302a-badge-office-006,lighting-1,A1,2,,,
3,03-302b-mail-room-007,control-1,S4b,1,,,
3,03-302b-mail-room-007,control-2,DT-205,1,,,
3,03-302b-mail-room-007,lighting-1,AL2,2,,,
3,03-302c-storage-008,lighting-1,A2,1,,,
3,03-303a-gender-neutral-restroom-017,control-1,DT-305,1,,,
3,03-303a-gender-neutral-restroom-017,lighting-1,C1,1,,,
3,03-303a-gender-neutral-restroom-017,lighting-2,D3,1,,,
3,03-303b-gender-neutral-restroom-018,control-1,DT-305,1,,,
3,03-303b-gender-neutral-restroom-018,lighting-1,C1,1,,,
3,03-303b-gender-neutral-restroom-018,lighting-2,D3,1,,,
3,03-303c-gender-neutral-restroom-019,control-1,DT-305,1,,,
3,03-303c-gender-neutral-restroom-019,lighting-1,C1,1,,,
3,03-303c-gender-neutral-restroom-019,lighting-2,D3,1,,,
3,03-304-conference-room-009,control-1,Sc3,1,,,
3,03-304-conference-room-009,control-2,DT-305,2,,,
3,03-304-conference-room-009,lighting-1,C1,10,,,
3,03-304-conference-room-009,lighting-2,PL3,1,,,
3,03-305-multifunctional-breakout-010,control-1,S4b,2,,,
3,03-305-multifunctional-breakout-010,control-2,DT-305,3,,,
3,03-305-multifunctional-breakout-010,control-3,SCPPH-1500,1,,,
3,03-305-multifunctional-breakout-010,lighting-1,L2,1,uniform thin light on adjacent walls,,
3,03-305-multifunctional-breakout-010,lighting-2,L1,1,uniform thin light rectangle on ceiling,,
3,03-305-multifunctional-breakout-010,lighting-3,C1,6,,,
3,03-305-multifunctional-breakout-010,lighting-4,J3,1,linear ceiling cove light offset from rectangle,,
3,03-305-multifunctional-breakout-010,lighting-5,P4,12,,,
3,03-305-multifunctional-breakout-010,lighting-6,X1,1,,,
3,03-306-nurse-waiting-049,control-1,S4b,1,,,
3,03-306-nurse-waiting-049,control-2,DT-305,1,,,
3,03-306-nurse-waiting-049,lighting-1,A1,2,,,
3,03-306a-nurse-s-exam-room-050,control-1,S4b,1,,,
3,03-306a-nurse-s-exam-room-050,control-2,DT-305,1,,,
3,03-306a-nurse-s-exam-room-050,lighting-1,A1,2,,,
3,03-306b-nurse-s-restroom-051,control-1,Soc,1,,,
3,03-306b-nurse-s-restroom-051,lighting-1,C1,1,,,
3,03-306b-nurse-s-restroom-051,lighting-2,D3,1,,,
3,03-307-women-s-restroom-020,control-1,S2b,1,,,
3,03-307-women-s-restroom-020,control-2,DT-305,2,,,
3,03-307-women-s-restroom-020,lighting-1,C1,4,,,
3,03-307-women-s-restroom-020,lighting-2,D3,2,,,
3,03-307-women-s-restroom-020,lighting-3,J1,1,,,
3,03-308-gender-neutral-restroom-048,control-1,Soc,1,,,
3,03-308-gender-neutral-restroom-048,lighting-1,C1W,1,,,
3,03-308-gender-neutral-restroom-048,lighting-2,C1,1,,,
3,03-308-gender-neutral-restroom-048,lighting-3,D3,1,,,
3,03-309-men-s-restroom-021,control-1,S2b,1,,,
3,03-309-men-s-restroom-021,control-2,DT-305,2,,,
3,03-309-men-s-restroom-021,lighting-1,C1,4,,,
3,03-309-men-s-restroom-021,lighting-2,D3,2,,,
3,03-309-men-s-restroom-021,lighting-3,J1,1,,,
3,03-310-men-s-restroom-052,control-1,S2b,1,,,
3,03-310-men-s-restroom-052,control-2,DT-305,2,,,
3,03-310-men-s-restroom-052,lighting-1,C1,5,,,
3,03-310-men-s-restroom-052,lighting-2,J1,1,,,
3,03-310-men-s-restroom-052,lighting-3,D3,2,,,
3,03-311-multifunctional-suite-1-011,control-1,DT-305,2,,,
3,03-311-multifunctional-suite-1-011,control-2,S4b,1,,,
3,03-311-multifunctional-suite-1-011,lighting-1,C2,6,,,
3,03-311-multifunctional-suite-1-011,lighting-2,PL5,8,,,
3,03-311-multifunctional-suite-1-011,lighting-3,X1,2,,,
3,03-312-women-s-restroom-053,control-1,S2b,1,,,
3,03-312-women-s-restroom-053,control-2,DT-305,2,,,
3,03-312-women-s-restroom-053,lighting-1,C1,4,,,
3,03-312-women-s-restroom-053,lighting-2,J1,1,,,
3,03-312-women-s-restroom-053,lighting-3,D3,2,,,
3,03-313-multifunctional-suite-2-012,control-1,DT-305,2,,,
3,03-313-multifunctional-suite-2-012,control-2,S4b,2,,,
3,03-313-multifunctional-suite-2-012,lighting-1,X1,2,,,
3,03-313-multifunctional-suite-2-012,lighting-2,PL5,8,,,
3,03-313-multifunctional-suite-2-012,lighting-3,C2,6,,,
3,03-314-training-room-071,control-1,S4b,2,,,
3,03-314-training-room-071,control-2,DT-305,2,,,
3,03-314-training-room-071,lighting-1,PL5,8,,,
3,03-314-training-room-071,lighting-2,X1,2,,,
3,03-315-multifunctional-suite-3-013,control-1,DT-305,2,,,
3,03-315-multifunctional-suite-3-013,control-2,S4b,1,,,
3,03-315-multifunctional-suite-3-013,lighting-1,X1,2,,,
3,03-315-multifunctional-suite-3-013,lighting-2,PL5,8,,,
3,03-315-multifunctional-suite-3-013,lighting-3,C2,3,,,
3,03-316-collab-room-b-076,control-1,Sc3,1,,,
3,03-316-collab-room-b-076,control-2,DT-305,2,,,
3,03-316-collab-room-b-076,lighting-1,C2,8,,,
3,03-316-collab-room-b-076,lighting-2,PL2,1,,,
3,03-317-janitor-022,control-1,Soc,1,,,
3,03-317-janitor-022,lighting-1,T1,1,,,
3,03-318-decompression-075,control-1,S4b,2,,,
3,03-318-decompression-075,control-2,DT-305,2,,,
3,03-318-decompression-075,lighting-1,C2,6,,,
3,03-318-decompression-075,lighting-2,P2,2,,,
3,03-319-mechanical-023,control-1,Se,1,,,
3,03-319-mechanical-023,lighting-1,T1,5,,,
3,03-320-multi-space-069,control-1,S4b,3,,,
3,03-320-multi-space-069,control-2,SCPPH-1500,3,,,
3,03-320-multi-space-069,control-3,DT-305,4,,,
3,03-320-multi-space-069,lighting-1,PL1,15,,,
3,03-320-multi-space-069,lighting-2,CP1,3,at middle of room,,
3,03-320-multi-space-069,lighting-3,AL3,1,near wall,,
3,03-320-multi-space-069,lighting-4,X1,2,,,
3,03-321a-comm-024,control-1,Se,1,,,
3,03-321a-comm-024,lighting-1,T1,1,,,
3,03-321b-electrical-025,lighting-1,T1,1,,,
3,03-322-focus-074,control-1,S4b,1,,,
3,03-322-focus-074,control-2,DT-205,1,,,
3,03-322-focus-074,lighting-1,AL2,1,,,
3,03-323-multifunctional-breakout-014,control-1,SCPPH-1500,2,,,
3,03-323-multifunctional-breakout-014,control-2,DT-305,3,,,
3,03-323-multifunctional-breakout-014,control-3,S4b,1,,,
3,03-323-multifunctional-breakout-014,lighting-1,X1,1,,,
3,03-323-multifunctional-breakout-014,lighting-2,C2,14,,,
3,03-323-multifunctional-breakout-014,lighting-3,L1,1,uniform thin light rectangle on ceiling,,
3,03-323-multifunctional-breakout-014,lighting-4,J3,1,linear ceiling cove light offset from rectangle,,
3,03-323-multifunctional-breakout-014,lighting-5,P3B,5,,,
3,03-323-multifunctional-breakout-014,lighting-6,P4,12,,,
3,03-323-multifunctional-breakout-014,lighting-7,J1,1,linear perimeter light on right wall,,
3,03-324-focus-073,control-1,S4b,1,,,
3,03-324-focus-073,control-2,DT-205,1,,,
3,03-324-focus-073,lighting-1,AL2,1,,,
3,03-325-furniture-storage-026,control-1,S2b,1,,,
3,03-325-furniture-storage-026,control-2,DT-305,2,,,
3,03-325-furniture-storage-026,lighting-1,T1,5,,,
3,03-326-focus-072,control-1,S4b,1,,,
3,03-326-focus-072,control-2,DT-205,1,,,
3,03-326-focus-072,lighting-1,AL2,1,,,
3,03-327-mother-s-suite-027,control-1,S4b,1,,,
3,03-327-mother-s-suite-027,control-2,DT-305,2,,,
3,03-327-mother-s-suite-027,lighting-1,X1,1,,,
3,03-327-mother-s-suite-027,lighting-2,A2,3,,,
3,03-327a-lactation-rm-028,control-1,S4b,1,,,
3,03-327a-lactation-rm-028,control-2,DT-305,1,,,
3,03-327a-lactation-rm-028,lighting-1,D1,1,,,
3,03-327b-lactation-rm-029,control-1,S4b,1,,,
3,03-327b-lactation-rm-029,control-2,DT-305,1,,,
3,03-327b-lactation-rm-029,lighting-1,D1,2,,,
3,03-327b-lactation-rm-029,lighting-2,C2,1,,,
3,03-327c-lactation-rm-030,control-1,S4b,1,,,
3,03-327c-lactation-rm-030,control-2,DT-305,1,,,
3,03-327c-lactation-rm-030,lighting-1,D1,1,,,
3,03-328-broadcast-studio-068,control-1,S4b,1,,,
3,03-328-broadcast-studio-068,control-2,DT-305,1,,,
3,03-328-broadcast-studio-068,lighting-1,A2,6,,,
3,03-328a-control-room-067,control-1,S4b,1,,,
3,03-328a-control-room-067,control-2,DT-305,1,,,
3,03-328a-control-room-067,lighting-1,A2,3,,,
3,03-329-wellness-031,control-1,S4b,1,,,
3,03-329-wellness-031,control-2,DT-305,1,,,
3,03-329-wellness-031,lighting-1,D1,1,,,
3,03-330-copy-print-077,control-1,S2b,1,,,
3,03-330-copy-print-077,control-2,DT-305,1,,,
3,03-330-copy-print-077,lighting-1,A1,3,,,
3,03-331-av-storage-032,control-1,S2b,1,,,
3,03-331-av-storage-032,control-2,DT-305,1,,,
3,03-331-av-storage-032,lighting-1,T1,2,,,
3,03-333-collab-room-a-033,control-1,Sc3,1,,,
3,03-333-collab-room-a-033,control-2,DT-305,2,,,
3,03-333-collab-room-a-033,lighting-1,C1,6,,,
3,03-333-collab-room-a-033,lighting-2,PL2,1,,,
3,03-334-multi-space-066,control-1,S4b,3,,,
3,03-334-multi-space-066,control-2,SCPPH-1500,3,,,
3,03-334-multi-space-066,control-3,DT-305,6,,,
3,03-334-multi-space-066,lighting-1,AL3,1,near wall,,
3,03-334-multi-space-066,lighting-2,X1,1,,,
