floor,sourceRow,spaceId,roomNo,spaceType,displayName,regionId,spaceNotes,daylightZone,emergencyFixtures
3,2,03-300-elevator-lobby-002,300,Elevator Lobby,300 - Elevator Lobby,region-040,,,
3,3,03-c3-5-corridor-003,C3.5,Corridor,C3.5 - Corridor,region-036,,,
3,4,03-302-lobby-004,302,Lobby,302 - Lobby,region-011,,,
3,5,03-302-ext-lobby-005,302 Ext.,Lobby,302 Ext. - Lobby,region-010,,,
3,6,03-302a-badge-office-006,302A,Badge Office,302A - Badge Office,region-001,,,
3,7,03-302b-mail-room-007,302B,Mail Room,302B - Mail Room,region-012,,,
3,8,03-302c-storage-008,302C,Storage,302C - Storage,region-009,,,
3,9,03-304-conference-room-009,304,Conference Room,304 - Conference Room,region-002,,,
3,10,03-305-multifunctional-breakout-010,305,Multifunctional Breakout,305 - Multifunctional Breakout,region-004,,,
3,11,03-311-multifunctional-suite-1-011,311,Multifunctional Suite,311 - Multifunctional Suite 1,region-006,,,
3,12,03-313-multifunctional-suite-2-012,313,Multifunctional Suite,313 - Multifunctional Suite 2,region-007,,,
3,13,03-315-multifunctional-suite-3-013,315,Multifunctional Suite,315 - Multifunctional Suite 3,region-008,,,
3,14,03-323-multifunctional-breakout-014,323,Multifunctional Breakout,323 - Multifunctional Breakout,region-013,,,
3,15,03-c3-1-corridor-015,C3.1,Corridor,C3.1 - Corridor,region-020,,,
3,16,03-c3-2-corridor-016,C3.2,Corridor,C3.2 - Corridor,region-037,,,
3,17,03-303a-gender-neutral-restroom-017,303A,Gender Neutral Restroom,303A - Gender Neutral Restroom,region-023,,,
3,18,03-303b-gender-neutral-restroom-018,303B,Gender Neutral Restroom,303B - Gender Neutral Restroom,region-043,,,
3,19,03-303c-gender-neutral-restroom-019,303C,Gender Neutral Restroom,303C - Gender Neutral Restroom,region-058,,,
3,20,03-307-women-s-restroom-020,307,Women's Restroom,307 - Women's Restroom,region-028,,,
3,21,03-309-men-s-restroom-021,309,Men's Restroom,309 - Men's Restroom,region-051,,,
3,22,03-317-janitor-022,317,Janitor,317 - Janitor,region-030,,,
3,23,03-319-mechanical-023,319,Mechanical,319 - Mechanical,region-044,,,
3,24,03-321a-comm-024,321A,Comm,321A - Comm,region-025,,,
3,25,03-321b-electrical-025,321B,Electrical,321B - Electrical,region-046,,,
3,26,03-325-furniture-storage-026,325,Furniture Storage,325 - Furniture Storage,region-059,,,
3,27,03-327-mother-s-suite-027,327,Mother's Suite,327 - Mother's Suite,region-033,,,
3,28,03-327a-lactation-rm-028,327A,Lactation Rm,327A - Lactation Rm,region-034,,,
3,29,03-327b-lactation-rm-029,327B,Lactation Rm,327B - Lactation Rm,region-054,,,
3,30,03-327c-lactation-rm-030,327C,Lactation Rm,327C - Lactation Rm,region-049,,,
3,31,03-329-wellness-031,329,Wellness,329 - Wellness,region-055,,,
3,32,03-331-av-storage-032,331,AV Storage,331 - AV Storage,region-061,,,
3,33,03-333-collab-room-a-033,333,Collab Room,333 - Collab Room (A),region-062,,,
3,34,03-335-multi-space-034,335,Multi Space,335 - Multi Space,region-081,,,
3,35,03-337-huddle-room-b-035,337,Huddle Room,337 - Huddle Room (B),region-078,,,
3,36,03-339-focus-036,339,Focus,339 - Focus,region-077,,,
3,37,03-341-focus-037,341,Focus,341 - Focus,region-076,,,
3,38,03-345-storage-038,345,Storage,345 - Storage,region-075,,,
3,39,03-n-a-ele-room-039,N/A,Electrical,N/A - Electrical Room,region-060,,,
3,40,03-n-a-corridor-2-040,N/A,Corridor,N/A - Corridor-2,region-063,,,
3,41,03-349a-food-prep-041,349A,Food Prep,349A - Food Prep,region-073,,,
3,42,03-349b-food-service-042,349B,Food Service,349B - Food Service,region-079,,,
3,43,03-349c-dry-storage-043,349C,Dry Storage,349C - Dry Storage,region-085,,,
3,44,03-349d-office-044,349D,Office,349D - Office,region-086,,,
3,45,03-349e-ware-washing-045,349E,Ware Washing,349E - Ware Washing,region-087,,,
3,46,03-349-cafe-046,349,Cafe,349 - Cafe,region-080,,,
3,47,03-364-pantry-047,364,Pantry,364 - Pantry,region-074,,,
3,48,03-308-gender-neutral-restroom-048,308,Gender Neutral Restroom,308 - Gender Neutral Restroom,region-031,,,
3,49,03-306-nurse-waiting-049,306,Nurse Waiting,306 - Nurse Waiting,region-026,,,
3,50,03-306a-nurse-s-exam-room-050,306A,Nurse's Exam Room,306A - Nurse's Exam Room,region-048,,,
3,51,03-306b-nurse-s-restroom-051,306B,Nurse's Restroom,306B - Nurse's Restroom,region-056,,,
3,52,03-310-men-s-restroom-052,310,Men's Restroom,310 - Men's Restroom,region-027,,,
3,53,03-312-women-s-restroom-053,312,Women's Restroom,312 - Women's Restroom,region-050,,,
3,54,03-360a-co-working-054,360A,Co-Working,360A - Co-Working,region-083,,,
3,55,03-360-multi-space-055,360,Multi-Space,360 - Multi-Space,region-082,,,
3,56,03-362-large-conference-room-056,362,Large Conference Room,362 - Large Conference Room,region-084,,,
3,57,03-358-huddle-room-057,358,Huddle Room,358 - Huddle Room,region-072,,,
3,58,03-356-focus-058,356,Focus,356 - Focus,region-071,,,
3,59,03-354-focus-059,354,Focus,354 - Focus,region-070,,,
3,60,03-352-focus-060,352,Focus,352 - Focus,region-069,,,
